speed_rpm,torque_nm,efficiency_percent
63.3245382585752,99.10714285714286,51.0
63.3245382585752,99.64285714285715,51.0
63.3245382585752,100.17857142857144,51.0
63.3245382585752,100.71428571428572,51.0
63.3245382585752,101.25,51.0
63.3245382585752,101.78571428571428,51.0
63.3245382585752,102.32142857142856,51.0
63.3245382585752,102.85714285714285,51.0
63.3245382585752,103.39285714285714,51.0
63.3245382585752,103.92857142857142,51.0
63.3245382585752,104.46428571428572,51.0
63.3245382585752,105.0,51.0
63.3245382585752,105.53571428571428,51.0
63.3245382585752,106.07142857142856,51.0
63.3245382585752,106.60714285714286,51.0
63.3245382585752,107.14285714285714,51.0
63.3245382585752,107.67857142857144,51.0
63.3245382585752,108.21428571428572,51.0
63.3245382585752,108.75,51.0
63.3245382585752,109.28571428571428,51.0
63.3245382585752,109.82142857142858,51.0
63.3245382585752,110.35714285714286,51.0
63.3245382585752,110.89285714285715,51.0
63.3245382585752,111.42857142857144,51.0
63.3245382585752,111.96428571428572,51.0
63.3245382585752,112.5,51.0
63.3245382585752,113.03571428571428,51.0
63.3245382585752,113.57142857142856,51.0
63.3245382585752,114.10714285714285,51.0
63.3245382585752,114.64285714285714,51.0
63.3245382585752,115.17857142857142,51.0
63.3245382585752,115.71428571428572,51.0
63.3245382585752,116.25,51.0
63.3245382585752,116.78571428571428,51.0
63.3245382585752,117.32142857142856,51.0
63.3245382585752,117.85714285714286,51.0
63.3245382585752,118.39285714285714,51.0
63.3245382585752,118.92857142857144,51.0
63.3245382585752,119.46428571428572,51.0
63.3245382585752,120.0,51.0
63.3245382585752,120.53571428571428,51.0
63.3245382585752,121.07142857142858,51.0
63.3245382585752,121.60714285714286,51.0
63.3245382585752,122.14285714285715,51.0
63.3245382585752,122.67857142857144,51.0
63.3245382585752,123.21428571428572,51.0
63.3245382585752,123.75,51.0
63.3245382585752,124.28571428571428,51.0
63.3245382585752,124.82142857142856,51.0
63.3245382585752,125.35714285714285,51.0
63.3245382585752,125.89285714285714,51.0
63.3245382585752,126.42857142857142,51.0
63.3245382585752,126.96428571428572,51.0
63.3245382585752,127.5,51.0
63.3245382585752,128.03571428571428,51.0
63.3245382585752,128.57142857142858,51.0
63.3245382585752,129.10714285714286,51.0
63.3245382585752,129.64285714285714,51.0
63.3245382585752,130.17857142857142,51.0
63.3245382585752,130.71428571428572,51.0
63.3245382585752,131.25,51.0
63.3245382585752,131.78571428571428,51.0
63.3245382585752,132.32142857142858,51.0
63.3245382585752,132.85714285714286,51.0
63.3245382585752,133.39285714285714,51.0
63.3245382585752,133.92857142857144,51.0
63.3245382585752,134.46428571428572,51.0
63.3245382585752,135.0,51.0
63.3245382585752,135.53571428571428,51.0
63.3245382585752,136.07142857142856,51.0
63.3245382585752,136.60714285714286,51.0
63.3245382585752,137.14285714285714,51.0
63.3245382585752,137.67857142857142,51.0
63.3245382585752,138.21428571428572,51.0
63.3245382585752,138.75,51.0
63.3245382585752,139.28571428571428,51.0
63.3245382585752,140.35714285714286,51.0
63.3245382585752,140.89285714285714,51.0
63.3245382585752,141.42857142857142,51.0
63.3245382585752,141.96428571428572,51.0
63.3245382585752,142.5,51.0
63.3245382585752,143.03571428571428,51.0
63.3245382585752,143.57142857142858,51.0
63.3245382585752,144.10714285714286,51.0
63.3245382585752,144.64285714285714,51.0
63.3245382585752,145.17857142857144,51.0
63.3245382585752,145.71428571428572,51.0
63.3245382585752,146.25,51.0
63.3245382585752,146.78571428571428,51.0
63.3245382585752,147.32142857142856,51.0
63.3245382585752,147.85714285714286,51.0
